_c0,id,initialdat,finaldate,area_ha,longitude,latitude,days_between
350749,2240258,2003-01-11,2003-01-12,106.852605253645,28.59161584917063,2.7820833531310716,1
350751,2240262,2003-01-03,2003-01-07,64.111769452972,27.73332978472475,2.7798611153121073,4
350755,2240267,2003-01-07,2003-01-11,149.593682536504,28.567690068401628,2.773511912008815,4
350759,2240274,2003-01-02,2003-01-06,85.4823418273387,29.303008906034506,2.7708333379286936,4
350760,2240275,2003-01-02,2003-01-07,619.744596325153,27.732057166184838,2.758261518017996,5
350761,2240276,2003-01-07,2003-01-08,64.1117533562844,28.439449313956302,2.768750000928383,1
350762,2240277,2003-01-08,2003-01-12,64.1117494000921,28.46719289032106,2.76597222640422,4
350764,2240279,2003-01-08,2003-01-12,64.1117373263388,28.45169763048625,2.7576388930575186,4
350766,2240281,2003-01-11,2003-01-15,320.555929811726,20.337332923572674,2.7431944511880264,4
350772,2240289,2003-01-08,2003-01-09,149.594175845867,28.466987975131843,2.7491071509043183,1
350773,2240290,2003-01-05,2003-01-07,64.1116878258877,28.60862392497597,2.749305559711435,2
350783,2240303,2003-01-04,2003-01-04,64.1117056836053,29.33550923078038,2.735416667583309,0
350788,2240308,2003-01-04,2003-01-13,235.075794440452,27.744314516531563,2.71950758927998,9
350792,2240314,2003-01-08,2003-01-10,64.1116876450301,28.57184234885235,2.7229166771862294,2
350795,2240318,2003-01-04,2003-01-05,128.222146365904,29.333118579110995,2.722916683672877,1
350796,2240319,2003-01-03,2003-01-05,85.481885841933,23.86857422038974,2.7208333378448435,2
350806,2240334,2003-01-01,2003-01-08,149.593657628504,29.36764639776013,2.7092261958919024,7
350812,2240344,2003-01-09,2003-01-12,192.334694291455,27.719487667270784,2.7025462999765106,3
350814,2240346,2003-01-01,2003-01-07,170.964365454671,27.85585203691335,2.6968750107209143,6
350817,2240351,2003-01-10,2003-01-12,106.85240831427,27.940514771194874,2.696250005809307,2
350818,2240353,2003-01-10,2003-01-14,64.1116366949455,27.789577018559957,2.6868055596164195,4
350823,2240359,2003-01-07,2003-01-11,64.111628850801,28.98381375624936,2.6812500008975646,4
350824,2240360,2003-01-10,2003-01-10,85.4823165137582,23.869861569578898,2.680208336889111,0
350826,2240362,2003-01-10,2003-01-10,85.4821294220372,23.807252617212427,2.6781250035550483,0
350827,2240363,2003-01-04,2003-01-07,213.706529367876,29.283864041288155,2.669583347012927,3
350829,2240365,2003-01-10,2003-01-12,235.07304965252,23.7875067255916,2.676704542185854,2
350831,2240367,2003-01-08,2003-01-12,106.852330118976,23.83516086873428,2.6545833388570004,4
350832,2240368,2003-01-05,2003-01-09,128.223141930564,28.9661500183224,2.639583338872662,4
350837,2240374,2003-01-09,2003-01-11,64.1115652247772,27.83569075784118,2.6354166675480917,2
350843,2240384,2003-01-08,2003-01-13,85.4820245291265,28.988655233013905,2.6208333376771087,5
350845,2240386,2003-01-10,2003-01-13,213.705043018416,29.014801868621344,2.5970833550863333,3
350846,2240387,2003-01-10,2003-01-10,85.482015102563,23.778566722644882,2.5958333376351845,0
350847,2240389,2003-01-05,2003-01-07,128.223818808523,29.801315563548627,2.5916667064545824,2
350851,2240394,2003-01-09,2003-01-13,128.222988175835,29.24261035103962,2.570138897300736,4
350853,2240397,2003-01-07,2003-01-13,85.4819512953058,29.250034558323478,2.56041667429657,6
350854,2240399,2003-01-07,2003-01-11,85.4819438724279,28.94025634857868,2.5562500076173986,4
350857,2240403,2003-01-01,2003-01-06,64.1114579022273,29.23117079426775,2.556250000853549,5
350863,2240413,2003-01-05,2003-01-06,64.111437624078,29.27114132397147,2.540972226059991,1
350866,2240421,2003-01-08,2003-01-10,277.815864195525,20.528662263907314,2.5197115982328584,2
350870,2240426,2003-01-04,2003-01-11,277.815851244981,29.26147162852395,2.520032061112717,7
350871,2240427,2003-01-10,2003-01-10,64.1110933390889,20.439842461242485,2.515972223010288,0
350876,2240433,2003-01-10,2003-01-10,128.222771176618,20.463248176809962,2.501388886931507,0
350877,2240434,2003-01-09,2003-01-11,64.1113864114536,27.97180633285071,2.5020833429930858,2
350881,2240481,2003-01-05,2003-01-12,170.962961588237,22.37309379859296,2.2911458460269327,7
350882,2240441,2003-01-05,2003-01-10,406.038697432535,28.93229550437878,2.4919956526570335,5
350883,2240442,2003-01-10,2003-01-10,64.1116487524827,20.432501523937194,2.4909722289934915,0
350885,2240445,2003-01-04,2003-01-07,256.445687520806,20.474323780154688,2.4760416841068436,3
350886,2240447,2003-01-03,2003-01-09,256.443829737075,29.28172986854698,2.4704861284300397,6
350888,2240449,2003-01-10,2003-01-11,213.70582148873,20.444924562477574,2.4762500012858917,1
350889,2240451,2003-01-05,2003-01-08,106.852224161493,20.490999234848918,2.462083337281159,3
350898,2240461,2003-01-08,2003-01-10,149.592822241297,20.481944333210393,2.359226201717207,2
